词条,字数,所属子类,独立成词频次,字面频次,首现章回,首现回目,其他归属,备注,例句
浇花,2,起居生活,1,1,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,”小红道：“昨儿二爷说了，今儿不用浇花儿，过一日浇一回。
滴翠亭,3,园景府邸,1,1,27,滴翠亭杨妃戏彩蝶 埋香冢飞燕泣残红,,,引的宝钗蹑手蹑脚的，一直跟到池边滴翠亭上，香汗淋漓，娇喘细细。
甬道,2,建筑形制,1,1,76,凸碧堂品笛感凄清 凹晶馆联诗悲寂寞,,,”说着便找时，刚到了甬道，就遇见紫鹃和翠缕来了。
痰盂,2,室内陈设,1,1,97,林黛玉焚稿断痴情 薛宝钗出闺成大礼,,,见黛玉颜色如雪，并无一点血色，神气昏沉，气息微细，半日又咳嗽了一阵，丫头递了痰盂，吐出都是痰中带血的，大家都慌了。
石桥,2,园林景致,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,俯而视之，但见青溪泻玉，石磴穿云，白石为栏，环抱池沼，石桥三港，兽面衔吐。
磁瓶,2,室内陈设,1,1,105,锦农军查抄宁国府 骢马使弹劾平安州,,,古磁瓶炉十七件。
群房,2,建筑形制,1,1,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,,荣府东边所有下人一带群房已尽拆去。
花墙,2,建筑形制,1,1,7,送宫花贾琏戏熙凤 宴宁府宝玉会秦钟,,,穿过了夹道子，从李纨后窗下越过西花墙，出西角门，进凤姐院中。
花径,2,园林景致,1,1,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,”越想越觉伤感，便也不顾苍苔露冷，花径风寒，独立墙角边花阴之下，悲悲切切，呜咽起来。
花房,2,起居生活,1,1,5,贾宝玉神游太虚境 警幻仙曲演红楼梦,,,方离柳坞，乍出花房。
花瓶,2,室内陈设,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,榻下并不摆席面，只一张高几，设着高架缨络、花瓶、香炉等物，外另设一小高桌，摆着杯箸。
苔藓,2,园林景致,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,上面苔藓斑驳，或藤萝掩映，其中微露羊肠小径。
菱花镜,3,室内陈设,1,1,28,蒋玉函情赠茜香罗 薛宝钗羞笼红麝串,,,咽不下玉粒金莼噎满喉，照不尽菱花镜里形容瘦。
蜂腰桥,3,园林景致,1,1,26,蜂腰桥设言传心事 潇湘馆春困发幽情,,,这里小红刚走至蜂腰桥门前，只见那边坠儿引着贾芸来了。
西府海棠,4,园林景致,1,1,17,大观园试才题对额 荣国府归省庆元宵,,,贾政与众人进了门，西边尽是游廊相接，院中点衬几块山石，一边种几本芭蕉，那一边是一树西府海棠，其势若伞，丝垂金缕，葩吐丹砂。
锦帐,2,室内陈设,1,1,53,宁国府除夕祭宗祠 荣国府元宵开夜宴,,,众人围随贾母至正堂上，影前锦帐高挂，彩屏张护，香烛辉煌，上面正居中悬着荣、宁二祖遗像，皆是披蟒腰玉，两边还有几轴列祖遗像。
锦被,2,床帐被褥,1,1,3,托内兄如海荐西宾 接外孙贾母惜孤女,,,一面早有熙凤命人送了一顶藕合色花帐并锦被缎褥之类。
门房,2,建筑形制,1,1,99,守官箴恶奴同破例 阅邸报老舅自担惊,,,门房、签押等人心里盘算道：“我们再挨半个月，衣裳也要当完了，账又逼起来，那可怎么样好呢？
门楼,2,建筑形制,1,1,50,芦雪庭争联即景诗 暖香坞雅制春灯谜,,,说着，仍坐了竹椅轿，大家围随，过了藕香榭，穿入一条夹道，东西两边皆是过街门，门楼上里外都嵌着石头匾。
溪,1,园林景致,0,11,1,甄士隐梦幻识通灵 贾雨村风尘怀闺秀,,原文中未独立成词，多嵌于更长词语内,东鲁孔梅溪题曰《风月宝鉴》。
杌,1,室内陈设,0,8,19,情切切良宵花解语 意绵绵静日玉生香,,原文中未独立成词，多嵌于更长词语内,”一面将自己的坐褥拿了来，铺在一个杌子上，扶着宝玉坐下，又用自己的脚炉垫了脚，向荷包内取出两个梅花香饼儿来，又将自己的手炉掀开焚上，仍盖好，放在宝玉怀里，然后将自己的茶…
明堂,2,建筑形制,0,1,16,贾元春才选凤藻宫 秦鲸卿夭逝黄泉路,,原文中未独立成词，多嵌于更长词语内,姑妈看着香菱的模样儿好还是小事，因他做人行事，又比别的女孩子不同，温柔安静，差不多儿的主子姑娘还跟不上他，才摆酒请客的费事，明堂正道给他做了屋里人。
盆架,2,室内陈设,0,1,97,林黛玉焚稿断痴情 薛宝钗出闺成大礼,,原文中未独立成词，多嵌于更长词语内,雪雁只得笼上，搁在地下火盆架上。
纱灯,2,室内陈设,0,1,22,听曲文宝玉悟禅机 制灯迷贾政悲谶语,,原文中未独立成词，多嵌于更长词语内,四人听说，忙出来至贾母上房，只见一个小太监，拿了一盏四角平头白纱灯，专为灯谜而制，上面已有了一个，众人都争看乱猜。
花囊,2,室内陈设,0,1,40,史太君两宴大观园 金鸳鸯三宣牙牌令,,原文中未独立成词，多嵌于更长词语内,那一边设着斗大的一个汝窑花囊，插着满满的一囊水晶球的白菊。
